Formula,Family,K,AICc,Delta_AICc,AICcWt,Intercept_Est,Intercept_Pr,Intercept_Std_Err,Noise_Est,Noise_Pr,Noise_Std_Err,Light_Est,Light_Pr,Light_Std_Err,Area_Est,Area_Pr,Area_Std_Err,Temp_Est,Temp_Pr,Temp_Std_Err,Rain_Est,Rain_Pr,Rain_Std_Err,Veg1_Est,Veg1_Pr,Veg1_Std_Err,Veg2_Est,Veg2_Pr,Veg2_Std_Err,Veg3_Est,Veg3_Pr,Veg3_Std_Err,Veg4_Est,Veg4_Pr,Veg4_Std_Err,Veg5_Est,Veg5_Pr,Veg5_Std_Err,Noise.Light_Est,Noise.Light_Pr,Noise.Light_Std_Err
Count ~ 1+(1|WBCat2_ID),poisson,2,96526.948618423,481.342922184369,2.94051271718329e-105,2.29845191087185,4.51172663480069e-59,0.141819861181147,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Count ~ Noise+(1|WBCat2_ID),poisson,3,96232.677337124,187.071640885362,2.33679108638352e-41,2.29751889852241,1.10959989707955e-58,0.142248640440574,-0.330062015038219,8.12722474036551e-63,0.0197305320547463,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Count ~ Light+(1|WBCat2_ID),poisson,3,96377.2652007491,331.659504510477,9.37053152487523e-73,2.2059470237197,9.55110499288746e-41,0.165041374111696,NA,NA,NA,-1.05603033603646,4.87456166038673e-24,0.104430674318169,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Count ~ Area_m2+(1|WBCat2_ID),poisson,3,96509.1994649788,463.593768740087,2.10185504572948e-101,2.41339820627655,5.80560265475791e-74,0.132651313862039,NA,NA,NA,NA,NA,NA,0.882341787850092,3.58690319931361e-06,0.190406635728753,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Count ~ Temp+(1|WBCat2_ID),poisson,3,96427.7630833801,382.157387141415,1.01458477015984e-83,1.73206909412034,1.85343304784329e-10,0.271781581417747,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.8117253270856,0.000189481630608933,0.485373419089702,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Count ~ Noise+Light+(1|WBCat2_ID),poisson,4,96124.2885886886,78.6828924499714,8.0341060537199e-18,2.21325933791464,4.09335124598659e-42,0.162758902902039,-0.312764121688614,1.08795687173235e-54,0.0200820340226691,-0.95856574754756,1.88732440992943e-19,0.106275553190671,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Count ~ Noise+Light+Noise*Light+(1|WBCat2_ID),poisson,5,96066.5520159132,20.9463196745055,2.76869451608343e-05,2.25060990920802,5.13355997872667e-46,0.158042556934091,-0.283005066897825,2.4244051589342e-41,0.0210136837453659,-0.847655740509346,7.8741759160474e-15,0.109099186395013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.186167918708816,2.69361367363174e-14,0.0244563535719589
Count ~ Noise+Area_m2+(1|WBCat2_ID),poisson,4,96215.178944021,169.573247782362,1.47349162164127e-37,2.41154724131281,3.01038315830165e-73,0.133211584984345,-0.329110467150673,9.14655928025328e-63,0.0196819328589988,NA,NA,NA,0.880087532953396,4.19830774254672e-06,0.191268674638998,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Count ~ Noise+Temp+(1|WBCat2_ID),poisson,4,96180.5282027432,134.922506504576,4.92788468051916e-30,2.05276178878551,2.77402421342062e-38,0.158670714074118,-0.314979062189448,3.22145182019764e-55,0.0201239378657527,NA,NA,NA,NA,NA,NA,-0.82951282019667,7.03388190277876e-10,0.134544879659833,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Count ~ Light+Area_m2+(1|WBCat2_ID),poisson,4,96368.8760217075,323.270325468795,6.21514562395615e-71,2.30593764676097,4.94743232297549e-48,0.158360203705405,NA,NA,NA,-1.00274864013754,2.78832452177951e-22,0.10329126956125,0.759704400216823,0.000862378327537397,0.228005519372791,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Count ~ Light+Temp+(1|WBCat2_ID),poisson,4,96278.2653756501,232.659679411474,2.94647730973547e-51,0.97094411866627,0.0786570534994204,0.552133364341624,NA,NA,NA,-1.43510575964044,1.15019423450872e-26,0.134264315436218,NA,NA,NA,-4.12240977192904,1.46425685957414e-22,0.421798126490291,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Count ~ Area_m2+Temp+(1|WBCat2_ID),poisson,4,96422.6025117177,376.996815479026,1.33934431032586e-82,1.98597184421554,3.20421152296145e-22,0.204870579924778,NA,NA,NA,NA,NA,NA,0.804167001107888,0.00247717209089567,0.265742287651599,-1.32357521115134,1.83294125399145e-06,0.277419680014629,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Count ~ Noise+Light+Area_m2+(1|WBCat2_ID),poisson,5,96115.2923332325,69.6866369938216,7.21854405797078e-16,2.31483316701561,5.77606014762012e-50,0.155750290638312,-0.312555692540808,7.9055643045254e-55,0.0200423906931764,-0.901806670626252,8.75092822974066e-18,0.10499200674341,0.769498943425573,0.000597006095503958,0.224149565568446,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Count ~ Noise+Light+Area_m2+Noise*Light+(1|WBCat2_ID),poisson,6,96056.586107924,10.9804116853629,0.00403965674338983,2.35400160384218,4.33081384983733e-55,0.15057786853522,-0.28275468928392,1.82937771990218e-41,0.0209627468234231,-0.786590842171189,2.57491908132613e-13,0.107532063029248,0.776835817397919,0.000331293551297469,0.21641803431149,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.18674101764971,1.7188616950112e-14,0.0243466775132326
Count ~ Noise+Light+Temp+(1|WBCat2_ID),poisson,5,96101.4068016028,55.8011053641821,7.47574525809591e-13,1.99227227696486,2.43228938538406e-24,0.195701990816412,-0.29963418319305,8.7368747416166e-48,0.0206325224313522,-0.893400742060508,1.36922405842998e-14,0.116038149970583,NA,NA,NA,-0.742903132873372,5.07275935445151e-05,0.183331058552079,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Count ~ Noise+Light+Temp+Noise*Light+(1|WBCat2_ID),poisson,6,96053.7008282775,8.09513203885581,0.0170952311946544,2.10140653776372,2.42678324509962e-33,0.174658572840784,-0.275738722829105,1.87874767168544e-38,0.021264396113549,-0.762059276833902,6.17242360329472e-11,0.116531708194071,NA,NA,NA,-0.513964245256169,0.000452632840399965,0.146540162752787,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.172873977459703,2.82540249412195e-12,0.0247452572345896
Count ~ Noise+Area_m2+Temp+(1|WBCat2_ID),poisson,5,96167.2580227482,121.652326509517,3.75183308658354e-27,2.19126844175679,1.42880533696217e-50,0.146516866949837,-0.316387220471756,2.32734903555589e-56,0.0200013565060833,NA,NA,NA,0.834365269817518,3.86749740084929e-05,0.202749293582341,-0.728317742717781,1.53359727334781e-09,0.120566601572892,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Count ~ Light+Area_m2+Temp+(1|WBCat2_ID),poisson,5,96279.9898929887,234.384196750034,1.24402445842197e-51,1.0294121775614,0.0647264227936327,0.5572996766053,NA,NA,NA,-1.43116106119869,2.13079460845168e-26,0.134617462437904,0.430437762273792,0.588732301865449,0.796113298739424,-4.10120570978921,6.4972241427585e-22,0.426260905721849,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Count ~ Noise+Light+Area_m2+Temp+(1|WBCat2_ID),poisson,6,96095.6845561179,50.0788598792133,1.30684569977581e-11,2.12176187896706,3.83854583036288e-31,0.182814839635194,-0.301827185353653,3.67559375114213e-49,0.0204795344429282,-0.834678396867409,2.71685136227866e-13,0.114218498944258,0.738642245396398,0.00344184806527342,0.252506088132802,-0.637346557999004,9.90671993748063e-05,0.163721712135592,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Count ~ Noise+Light+Area_m2+Temp+Noise*Light+(1|WBCat2_ID),poisson,7,96045.6056962387,0,0.978837425102978,2.22352277684243,8.16106412649936e-42,0.164123944433487,-0.276794608348355,4.42766442172471e-39,0.0211657134038852,-0.699985523414236,1.1172187375315e-09,0.114908182929002,0.760227538595856,0.000873099792322019,0.228398340562632,-0.446234650614734,0.000851672574208234,0.133786199716701,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.175384783287642,9.31367629929279e-13,0.0245627104191438
